analysis_date,window,factor_name,n,nonmissing_count,missing_share,mean,std,p01,p05,median,p95,p99
2024-03-29,60,neighbor_jaccard_1m,5078,4050,0.20244190626230799,0.27176452683704583,0.2520982164365414,0.0,0.0,0.25,0.6666666666666666,1.0
2024-04-30,60,neighbor_jaccard_1m,5091,4528,0.11058731094087605,0.2431483071169534,0.22518556817625368,0.0,0.0,0.2222222222222222,0.6081293649025797,1.0
2024-05-31,60,neighbor_jaccard_1m,5075,5058,0.003349753694581281,0.12240156988547836,0.11751168177544444,0.0,0.0,0.09523809523809523,0.35,0.4495000000000003
2024-06-28,60,neighbor_jaccard_1m,5074,5061,0.002562081198265668,0.3055488112511653,0.19933041951426828,0.0,0.0,0.3,0.6349206349206349,0.7342445234974722
2024-07-31,60,neighbor_jaccard_1m,5068,5052,0.0031570639305445935,0.20089384318500572,0.16869083566638662,0.0,0.0,0.16710296684118675,0.5210121457489878,0.6630232558139534
2024-08-30,60,neighbor_jaccard_1m,5068,5046,0.004340962904498816,0.23928744341852992,0.18072795683881865,0.0,0.0,0.22456373853889383,0.5505434782608696,0.6551724137931034
2024-09-30,60,neighbor_jaccard_1m,5067,5053,0.002762976119992106,0.27234463395029507,0.1822888430619758,0.0,0.0,0.265625,0.5806451612903226,0.6940394670264799
2024-10-31,60,neighbor_jaccard_1m,5062,5054,0.0015804030027657052,0.17243174864688074,0.1518989127459782,0.0,0.0,0.13793103448275862,0.46766651195172887,0.6027498762988629
2024-11-29,60,neighbor_jaccard_1m,5054,5020,0.006727344677483181,0.21876866233363143,0.18956741124300144,0.0,0.0,0.18181818181818182,0.5823467096733391,0.6923076923076923
2024-12-31,60,neighbor_jaccard_1m,5053,5018,0.0069265782703344545,0.27605454961623327,0.19525056571388996,0.0,0.0,0.2608695652173913,0.6100035536602697,0.697170549860205
2025-01-27,60,neighbor_jaccard_1m,5059,5026,0.006523028266455821,0.2277193364267821,0.1769226343348816,0.0,0.0,0.2061157796451914,0.5409121235226839,0.6442669172932332
2025-02-28,60,neighbor_jaccard_1m,5071,5047,0.004732794320646815,0.22581403998922966,0.18356729463615817,0.0,0.0,0.19322033898305085,0.5555555555555556,0.6666666666666666
2025-03-31,60,neighbor_jaccard_1m,5068,5046,0.004340962904498816,0.20832875882413152,0.16611524098807,0.0,0.0,0.18181818181818182,0.51,0.61611170212766
2025-04-30,60,neighbor_jaccard_1m,5078,5048,0.005907837731390311,0.19171095856962,0.15306286293827792,0.0,0.0,0.16666666666666666,0.4755241935483868,0.5840128205128202
2025-05-30,60,neighbor_jaccard_1m,5066,5043,0.0045400710619818395,0.2857662851359951,0.19473139876149295,0.0,0.0,0.2714285714285714,0.6111111111111112,0.7142857142857143
2025-06-30,60,neighbor_jaccard_1m,5084,5037,0.00924468922108576,0.2625012949340666,0.1994349225635013,0.0,0.0,0.24031007751937986,0.614375253211315,0.7281038961038965
2025-07-31,60,neighbor_jaccard_1m,5093,5069,0.004712350284704497,0.13646581792444035,0.13816484457323408,0.0,0.0,0.09782608695652174,0.41253132832080175,0.6178181818181817
2025-08-29,60,neighbor_jaccard_1m,5108,5081,0.0052858261550509005,0.21773361119252146,0.1902350037217611,0.0,0.0,0.16666666666666666,0.5833333333333334,0.6967931075744884
2025-09-30,60,neighbor_jaccard_1m,5119,5099,0.003907013088493847,0.22295297079463589,0.17353108073700035,0.0,0.0,0.2,0.5358465608465601,0.6532116032116029
2025-10-31,60,neighbor_jaccard_1m,5118,5104,0.0027354435326299334,0.2708270275237482,0.18558383968919864,0.0,0.0,0.25806451612903225,0.5815499172642027,0.6973647996137131
2025-11-28,60,neighbor_jaccard_1m,5119,5102,0.0033209611252197693,0.24462561592029453,0.18146127336677692,0.0,0.0,0.22697210982030197,0.5609268292682925,0.6760501606127994
2025-12-31,60,neighbor_jaccard_1m,5119,5103,0.003125610470795077,0.22520148928181055,0.1680817731643933,0.0,0.0,0.2112676056338028,0.5061924717503554,0.5976983459489768
2026-01-30,60,neighbor_jaccard_1m,5126,5104,0.004291845493562232,0.1883772985271804,0.15950826583215083,0.0,0.0,0.15735538909696212,0.4826977687626773,0.6206106321839088
2026-02-27,60,neighbor_jaccard_1m,5126,5104,0.004291845493562232,0.3548768886549331,0.21125076012011637,0.0,0.0,0.36585365853658536,0.6882258064516129,0.776534341110746
2026-03-31,60,neighbor_jaccard_1m,5145,5086,0.011467444120505346,0.2633776829380916,0.19959999967817185,0.0,0.0,0.25,0.6166450777202073,0.7169444444444438
